test,classification,evidence
R10 orientation→survival reproduces,supported 3/3,"Validation reproduction: high-group target-minus-random survival -0.875, -0.909, -0.848; low-group rescue 1.658, 1.080, 1.016."
Substantial survival manipulation inside semantic envelope,supported 3/3,"epsilon=0.01 passed all locked validation thresholds. Test immediate matching-linear changes are ~1%, MLP full-task changes <1%, and immediate head-margin absolute change <0.005."
Low-survival rescue improves native-reader use,unsupported; opposite sign 3/3,"Rescue increases geometric survival by +1.71,+1.07,+1.04× versus semantic-matched random, yet matching margin and diagonal-minus-off-diagonal reader effects are negative with bootstrap intervals below zero in all three seeds."
High-survival suppression impairs native-reader use,unsupported; opposite sign 3/3,"Suppression reduces geometric survival by about -0.89,-0.91,-0.87×, yet matching reader margin and diagonal-minus-off-diagonal effects are slightly positive in all seeds."
Reader-space controlled-pair separation follows geometric survival,unsupported; opposite sign 3/3,"Rescue decreases matching reader-space pair separation; suppression increases it, with tight paired intervals in all three seeds."
A monotonic beneficial survival dose-response exists,unsupported,"Across the dose ladder, larger geometric survival changes do not produce the preregistered beneficial functional direction; effects scale weakly in the opposite direction."
Near-boundary examples reveal hidden beneficial effect,unsupported,"Boundary-subset diagonal effects retain the same non-beneficial sign pattern; categorical accuracy changes remain tiny and inconsistent."
Relation-specific 8x8 functional matrix has predicted diagonal sign,unsupported,"The matrix is diagonally biased in the opposite direction: rescue diagonal effects are negative and suppression diagonal effects positive."
Wrong-stage effects are weaker,partially supported,"Rescue's negative reader effect is much weaker at h4 than h1 in all seeds; suppression effects are tiny at both stages."
Generic independent terminal accessibility benefits from rescue,unsupported,"Frozen independent h12 ridge-probe accuracy changes are ~0 to +0.1 pp and do not track the large geometric rescue."
Fresh adaptive readers can exploit rescued survival,unsupported,"Readers retrained on modified trajectories show target-minus-random changes near zero and inconsistent across seeds for both ridge and MLP64."
Native terminal-template correction makes rescue useful,unsupported 3/3,"The preregistered two-stage rescue + validation-native late template correction does not improve matching margin; rescue remains slightly harmful and the early×late interaction CIs include zero."
Off-manifold shift explains rescue failure,unsupported,"Target-vs-random nearest-native-terminal distance changes are near zero; rescue failure is not explained by a large distribution-shift difference at the selected epsilon."
Native W_out lacked sensitivity to the achieved terminal displacement,unsupported,"Reader-gradient calibration using equal terminal displacement predicts margin sensitivity ~0.009–0.016, over an order of magnitude larger than the observed ~10^-4–10^-3 effects."
Raw geometric survival is the reader-usable quantity,unsupported,"Within intervention states, geometric survival correlates weakly with margin, while terminal alignment / signed reader-projected survival correlates ~0.88–0.99 with margin."
Natural R9 survival-reader association is causally mediated by survival magnitude,unsupported,"Large clean bidirectional survival manipulations fail to reproduce the natural functional ordering and instead produce small opposite-sign reader effects."
R11 outcome,Outcome G,"Selective preservation and reader usefulness are co-organized by training, but manipulating geometric survival alone does not mediate the frozen native reader's use under the tested semantic-preserving interventions."
